method,mean_p_winner,top_1,top_3,avg_rank_of_winner,log_loss,brier
model (analytic A),0.4188898773281954,0.5588235294117647,0.8529411764705882,1.9705882352941178,1.409600264233341,0.6391927506419356
model (Monte-Carlo B),0.3952705882352941,0.5147058823529411,0.8382352941176471,2.0588235294117645,1.4026178260606237,0.6394356447058823
baseline: grid-softmax,0.13806424881156454,0.3382352941176471,0.7647058823529411,3.1029411764705883,2.1035799262458306,0.8267603900576922
baseline: pole-empirical,0.28237336601307167,0.5147058823529411,0.9411764705882353,1.9558823529411764,2.121050740267022,0.7227629697712413
baseline: last-race-winner,0.1670937211449678,0.4411764705882353,0.9852941176470589,1.6764705882352942,2.430063496133787,0.81784949072208
baseline: championship-leader,0.24254623594590197,0.6029411764705882,0.9705882352941176,1.6323529411764706,2.0096948259009246,0.6938043644889076
