method,log_loss,brier,top_1,top_3
model (analytic A),1.9571218213687431,0.8001089523929262,0.4264705882352941,0.7352941176470589
model (Monte-Carlo B),1.9624823682067125,0.8016885705882352,0.4264705882352941,0.75
baseline: grid-softmax,2.1035799262458306,0.8267603900576922,0.3382352941176471,0.7647058823529411
baseline: pole-empirical,2.121050740267022,0.7227629697712413,0.5147058823529411,0.9411764705882353
baseline: last-race-winner,2.430063496133787,0.81784949072208,0.4411764705882353,0.9852941176470589
baseline: championship-leader,2.0096948259009246,0.6938043644889076,0.6029411764705882,0.9705882352941176
