raceId,year,driverId,driver,median_pace_ms,leader_pace_ms,pace_gap_pct,mean_gap,std_gap,residual,z
900,2014,3,Nico Rosberg,93958.5,93958.5,0.0,0.25256286118291765,0.4419965640400648,-0.25256286118291765,-0.5714136301747904
900,2014,4,Fernando Alonso,95143.0,93958.5,1.2606629522608386,1.7947776189201181,0.8684990008887206,-0.5341146666592795,-0.6149859310289694
900,2014,8,Kimi Räikkönen,95268.0,93958.5,1.3937004102875206,1.4567873847566934,1.3156806952672813,-0.06308697446917289,-0.04795006470499039
900,2014,16,Adrian Sutil,96836.0,93958.5,3.0625222837742196,2.2858253540869704,0.680936895744923,0.7766969296872492,1.14062982126643
900,2014,18,Jenson Button,94886.0,93958.5,0.9871379385579804,2.0806505480091424,0.9391689981943444,-1.093512609451162,-1.1643406155373104
900,2014,154,Romain Grosjean,96897.0,93958.5,3.1274445632912404,2.376069897168195,0.9146571972708218,0.7513746661230454,0.8214822650114347
900,2014,807,Nico Hülkenberg,95209.0,93958.5,1.3309067300989266,1.9377219215271062,1.2255369193024381,-0.6068151914281796,-0.49514231833470346
900,2014,813,Pastor Maldonado,98641.0,93958.5,4.983583177679508,2.2122200039579876,0.9726260623857304,2.7713631737215203,2.8493614153457005
900,2014,815,Sergio Pérez,96051.5,93958.5,2.227579197198763,1.378770908565631,0.8767725254623746,0.8488082886331321,0.9681054823034112
900,2014,817,Daniel Ricciardo,94676.0,93958.5,0.7636350090731546,1.4225304803628576,0.9090088996901978,-0.6588954712897029,-0.724850407420943
900,2014,818,Jean-Éric Vergne,95383.0,93958.5,1.516094871672068,1.8068267658194042,0.6077480415448707,-0.29073189414733625,-0.4783756989299507
900,2014,820,Max Chilton,98636.0,93958.5,4.97826167935844,3.959260740940551,0.6443486489201323,1.0190009384178893,1.581443431480207
900,2014,821,Esteban Gutiérrez,95885.0,93958.5,2.050373303107223,2.57939456584725,1.4141909382253144,-0.5290212627400273,-0.37408050669869414
900,2014,822,Valtteri Bottas,94953.0,93958.5,1.058446016060282,1.285662633448945,1.2052574802191036,-0.22721661738866294,-0.18852122564496115
900,2014,824,Jules Bianchi,97405.5,93958.5,3.6686409425437825,3.4582325698520546,0.40000244477399627,0.21040837269172785,0.526017716743231
900,2014,825,Kevin Magnussen,94728.0,93958.5,0.8189785916122544,2.4421932784219638,1.901694730988193,-1.6232146868097095,-0.8535621729183764
900,2014,826,Daniil Kvyat,95569.0,93958.5,1.7140546092157707,2.1152093418524482,1.1012352512701788,-0.40115473263667756,-0.36427705358503604
900,2014,828,Marcus Ericsson,99846.0,93958.5,6.266064273056722,3.315349174023586,2.2666022984741865,2.950715099033136,1.3018230419246797
901,2014,1,Lewis Hamilton,106523.0,106523.0,0.0,0.38892696880117944,0.4822604277395991,-0.38892696880117944,-0.8064666856953565
901,2014,3,Nico Rosberg,106683.0,106523.0,0.15020230372783341,0.25256286118291765,0.4419965640400648,-0.10236055745508424,-0.2315867718958235
901,2014,4,Fernando Alonso,107114.5,106523.0,0.5552791415938342,1.7947776189201181,0.8684990008887206,-1.239498477326284,-1.4271731758561907
901,2014,8,Kimi Räikkönen,108254.0,106523.0,1.6250011734554979,1.4567873847566934,1.3156806952672813,0.16821378869880443,0.12785304922683516
901,2014,13,Felipe Massa,107492.5,106523.0,0.9101320841508407,1.7563214434668013,2.036534833187874,-0.8461893593159606,-0.4155044861134954
901,2014,16,Adrian Sutil,109345.0,106523.0,2.649193131999662,2.2858253540869704,0.680936895744923,0.3633677779126918,0.5336291515165722
901,2014,18,Jenson Button,107514.0,106523.0,0.9303155187142683,2.0806505480091424,0.9391689981943444,-1.1503350292948742,-1.2248434855776966
901,2014,20,Sebastian Vettel,106776.0,106523.0,0.23750739276963662,0.9559028376819697,0.8973755031017987,-0.7183954449123331,-0.8005516558332415
