year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2014,6,6,Ferrari,12,0,0.9166666666666666,0.055277079839256664
2014,6,9,Red Bull,12,3,0.7916666666666666,0.08122328620674137
2014,6,10,Force India,12,0,0.9166666666666666,0.055277079839256664
2014,6,15,Sauber,12,3,0.7916666666666666,0.08122328620674137
2014,6,131,Mercedes,12,1,0.875,0.06614378277661477
2014,6,206,Marussia,12,1,0.875,0.06614378277661477
2014,6,207,Caterham,12,2,0.8333333333333334,0.07453559924999299
2014,6,208,Lotus F1,12,4,0.75,0.08660254037844387
2014,7,1,McLaren,14,2,0.8461538461538461,0.06943622568064924
2014,7,3,Williams,14,1,0.8846153846153846,0.06148501952965025
2014,7,5,Toro Rosso,14,5,0.7307692307692308,0.08536318100614607
2014,7,6,Ferrari,14,0,0.9230769230769231,0.05128205128205128
2014,7,9,Red Bull,14,3,0.8076923076923077,0.07584717670640534
2014,7,10,Force India,14,0,0.9230769230769231,0.05128205128205128
2014,7,15,Sauber,14,4,0.7692307692307692,0.08108404256841997
2014,7,131,Mercedes,14,2,0.8461538461538461,0.06943622568064924
2014,7,206,Marussia,14,1,0.8846153846153846,0.06148501952965025
2014,7,207,Caterham,14,4,0.7692307692307692,0.08108404256841997
2014,7,208,Lotus F1,14,6,0.6923076923076923,0.0888231183368655
2014,8,1,McLaren,16,2,0.8571428571428572,0.06497983230676314
2014,8,3,Williams,16,1,0.8928571428571429,0.05743460008059615
2014,8,5,Toro Rosso,16,7,0.6785714285714286,0.08672434429289781
