year,round,driverId,driver,mu,sigma,event
2014,3,822,Valtteri Bottas,31.9140017741389,8.177182314731763,quali
2014,3,815,Sergio Pérez,27.596186618032835,8.178811551272423,quali
2014,3,8,Kimi Räikkönen,31.043965023099634,8.179509083654072,quali
2014,3,18,Jenson Button,33.784132121142164,8.177967228172509,quali
2014,3,13,Felipe Massa,28.994361519675802,8.144886884327068,quali
2014,3,825,Kevin Magnussen,33.73653491869208,8.232643776640003,quali
2014,3,4,Fernando Alonso,35.976913470308396,8.21580729558187,quali
2014,3,20,Sebastian Vettel,32.12162473612203,8.223343460637095,quali
2014,3,807,Nico Hülkenberg,33.42733189930123,8.168727211168047,quali
2014,3,826,Daniil Kvyat,28.642369231237073,8.136555128451132,quali
2014,3,818,Jean-Éric Vergne,29.747068949971737,8.216978743124503,quali
2014,3,821,Esteban Gutiérrez,24.85104054594047,8.232279464663419,quali
2014,3,154,Romain Grosjean,23.209350257510415,8.24747193945471,quali
2014,3,813,Pastor Maldonado,22.32562123045435,8.269222053801744,quali
2014,3,16,Adrian Sutil,24.04792089565018,8.220169997037008,quali
2014,3,155,Kamui Kobayashi,20.664308844731888,8.197995623232853,quali
2014,3,824,Jules Bianchi,22.179976447651917,8.230547099145332,quali
2014,3,828,Marcus Ericsson,19.61793982656613,8.208939787504322,quali
2014,3,820,Max Chilton,18.781583752136,8.187542536847126,quali
2014,3,1,Lewis Hamilton,40.81527913484629,8.312107127446408,race
2014,3,3,Nico Rosberg,43.1024878797238,8.283800628116236,race
2014,3,815,Sergio Pérez,30.4265752613236,8.167018855626912,race
2014,3,817,Daniel Ricciardo,35.51497577102286,8.286609079739552,race
2014,3,807,Nico Hülkenberg,35.607784536282985,8.144149891155989,race
2014,3,20,Sebastian Vettel,34.067820092119334,8.19270115178293,race
2014,3,13,Felipe Massa,30.715312773320072,8.111548506906638,race
2014,3,822,Valtteri Bottas,33.15723623131302,8.133767608444677,race
2014,3,4,Fernando Alonso,36.539652707377336,8.158411905407208,race
2014,3,8,Kimi Räikkönen,31.487616996928576,8.120569349748749,race
2014,3,826,Daniil Kvyat,28.770216267013517,8.072901936118502,race
2014,3,154,Romain Grosjean,23.266863843292697,8.178496150384303,race
2014,3,820,Max Chilton,18.755087988023426,8.17036717704095,race
2014,3,813,Pastor Maldonado,22.04040276878319,8.246677131675293,race
2014,3,155,Kamui Kobayashi,20.228807453276037,8.173629157920754,race
2014,3,824,Jules Bianchi,21.411657381941776,8.200744306199212,race
2014,3,821,Esteban Gutiérrez,23.52887861750504,8.195944404106504,race
2014,3,16,Adrian Sutil,21.90973198835191,8.184560384186526,race
2014,4,1,Lewis Hamilton,43.83442549861332,8.309246059453754,quali
2014,4,817,Daniel Ricciardo,38.36243866642128,8.28108956984619,quali
2014,4,20,Sebastian Vettel,36.68734381326511,8.184646089087527,quali
2014,4,3,Nico Rosberg,45.42910301682402,8.269431245879376,quali
2014,4,4,Fernando Alonso,38.70414090363126,8.143259701235959,quali
2014,4,13,Felipe Massa,32.776160699616845,8.09534248936215,quali
2014,4,822,Valtteri Bottas,34.95034108356574,8.112797021043567,quali
2014,4,807,Nico Hülkenberg,37.078007602191164,8.117743259183579,quali
2014,4,818,Jean-Éric Vergne,31.207329449788425,8.188804075265926,quali
2014,4,154,Romain Grosjean,24.718848003473692,8.15077443472843,quali
2014,4,8,Kimi Räikkönen,32.28602899391461,8.08359748897819,quali
2014,4,18,Jenson Button,34.124586343598935,8.13244852970352,quali
2014,4,826,Daniil Kvyat,29.062370359860946,8.028887058023077,quali
2014,4,16,Adrian Sutil,22.292690828339587,8.139114854517015,quali
2014,4,825,Kevin Magnussen,33.49259455773343,8.216113422608728,quali
2014,4,815,Sergio Pérez,30.128421772802625,8.150135510372413,quali
2014,4,821,Esteban Gutiérrez,23.250402248227438,8.179104889032335,quali
2014,4,155,Kamui Kobayashi,19.875082674732884,8.155883468917867,quali
2014,4,824,Jules Bianchi,20.824624087232564,8.179610907648856,quali
2014,4,828,Marcus Ericsson,18.828233386657867,8.18533601908907,quali
2014,4,820,Max Chilton,17.631150565564166,8.144111164802267,quali
2014,4,813,Pastor Maldonado,19.95317429809673,8.21787335856396,quali
2014,4,1,Lewis Hamilton,46.9755265891191,8.305331931677465,race
2014,4,3,Nico Rosberg,48.28161572130206,8.260745900667906,race
2014,4,4,Fernando Alonso,41.31892395857094,8.132250631040293,race
2014,4,817,Daniel Ricciardo,40.82718028594094,8.264743385610124,race
2014,4,20,Sebastian Vettel,38.88192656725668,8.165104878484279,race
2014,4,807,Nico Hülkenberg,38.960837200293945,8.093887447999844,race
2014,4,822,Valtteri Bottas,36.62316300886076,8.085204993544153,race
2014,4,8,Kimi Räikkönen,33.76308106403141,8.0530510473571,race
2014,4,815,Sergio Pérez,31.42321210351981,8.114750324744437,race
2014,4,826,Daniil Kvyat,30.05960442181757,7.991055045203866,race
2014,4,18,Jenson Button,34.46239616701133,8.080883818243493,race
2014,4,818,Jean-Éric Vergne,31.32461887566156,8.131691671754433,race
2014,4,825,Kevin Magnussen,33.346222041650705,8.199041525480304,race
2014,4,813,Pastor Maldonado,20.01240106170108,8.158445808934413,race
2014,4,13,Felipe Massa,32.33151741817652,8.07456018599624,race
2014,4,821,Esteban Gutiérrez,22.883600043501787,8.15873707475582,race
2014,4,824,Jules Bianchi,20.314067617918113,8.157158937492193,race
2014,4,155,Kamui Kobayashi,19.120057916814588,8.130515753757772,race
2014,4,820,Max Chilton,16.56299747010005,8.115999316591871,race
2014,4,828,Marcus Ericsson,16.87618193812291,8.156041061028489,race
2014,5,1,Lewis Hamilton,49.98417608323579,8.30211418332983,quali
2014,5,3,Nico Rosberg,51.02568634585077,8.253610251860701,quali
2014,5,817,Daniel Ricciardo,43.439050743244366,8.255167670131444,quali
2014,5,822,Valtteri Bottas,38.984146508262334,8.074119764692371,quali
2014,5,154,Romain Grosjean,27.1315297835788,8.139384296119381,quali
2014,5,8,Kimi Räikkönen,35.76357382856544,8.036467051443461,quali
2014,5,4,Fernando Alonso,42.900603570675244,8.107565765058867,quali
2014,5,18,Jenson Button,36.00679120371256,8.056337706262935,quali
2014,5,13,Felipe Massa,33.70259838740394,8.047243416570907,quali
2014,5,20,Sebastian Vettel,39.68717094448657,8.126940977405637,quali
2014,5,807,Nico Hülkenberg,39.40251250363912,8.051515501825143,quali
2014,5,815,Sergio Pérez,31.961911572080712,8.073121520635564,quali
2014,5,826,Daniil Kvyat,30.31335497702502,7.947762820037645,quali
2014,5,821,Esteban Gutiérrez,23.240761405456016,8.112889982413286,quali
2014,5,825,Kevin Magnussen,33.119987687830765,8.182832987414466,quali
2014,5,818,Jean-Éric Vergne,31.008365111973944,8.114634384973828,quali
2014,5,16,Adrian Sutil,22.0444202540661,8.122962896233119,quali
2014,5,820,Max Chilton,16.296571006827442,8.09976724378651,quali
2014,5,824,Jules Bianchi,19.750027985641825,8.136534151580609,quali
2014,5,828,Marcus Ericsson,16.167674515516076,8.133767754909119,quali
2014,5,155,Kamui Kobayashi,17.955552014936575,8.10408414257276,quali
2014,5,813,Pastor Maldonado,18.023121055142152,8.131241346683238,quali
2014,5,1,Lewis Hamilton,53.11053421555275,8.297720026562633,race
2014,5,3,Nico Rosberg,53.833998917426634,8.244050790402248,race
2014,5,817,Daniel Ricciardo,46.0891906103889,8.242451820154507,race
2014,5,20,Sebastian Vettel,42.07627867995411,8.111661573845405,race
2014,5,822,Valtteri Bottas,41.107323912981556,8.054984754801175,race
2014,5,4,Fernando Alonso,44.632552016016405,8.08087290132589,race
2014,5,8,Kimi Räikkönen,37.42706727541334,8.009773448746811,race
2014,5,154,Romain Grosjean,28.883471724731873,8.111816914108852,race
2014,5,815,Sergio Pérez,33.20338787409729,8.037995983600606,race
2014,5,807,Nico Hülkenberg,39.8577073309317,8.003652605138008,race
2014,5,18,Jenson Button,36.26888104641729,8.004861259950689,race
2014,5,825,Kevin Magnussen,33.14206864934665,8.12352615944556,race
2014,5,13,Felipe Massa,33.567415915389205,8.031460225124604,race
2014,5,826,Daniil Kvyat,30.115125603088007,7.931713075819595,race
2014,5,813,Pastor Maldonado,17.949478116801732,8.115711864397506,race
2014,5,821,Esteban Gutiérrez,22.871194542854955,8.092864097406704,race
2014,5,16,Adrian Sutil,21.488317213176124,8.100173268697219,race
2014,5,824,Jules Bianchi,18.98079431276675,8.110976658434163,race
2014,5,820,Max Chilton,15.258814939094101,8.07238170292304,race
2014,5,828,Marcus Ericsson,14.316536918213997,8.105971971341384,race
2014,6,3,Nico Rosberg,56.78669358277324,8.240491151746815,quali
2014,6,1,Lewis Hamilton,55.85846975095792,8.289804295664627,quali
2014,6,817,Daniel Ricciardo,48.647771535316224,8.232020986574728,quali
2014,6,20,Sebastian Vettel,44.395819580728336,8.099189953367222,quali
2014,6,4,Fernando Alonso,46.647249986748044,8.063892590420135,quali
2014,6,8,Kimi Räikkönen,39.348873300064795,7.992305301412703,quali
2014,6,818,Jean-Éric Vergne,32.92957950662364,8.095207772800045,quali
2014,6,825,Kevin Magnussen,34.77486292354017,8.099144154701772,quali
2014,6,826,Daniil Kvyat,31.54307387479131,7.907480594281288,quali
2014,6,815,Sergio Pérez,34.28561279762614,8.006252725512965,quali
2014,6,807,Nico Hülkenberg,40.26608140653073,7.962247534839777,quali
2014,6,18,Jenson Button,36.533979037648955,7.961040146411241,quali
2014,6,822,Valtteri Bottas,40.97817776236774,8.041156241808805,quali
2014,6,154,Romain Grosjean,28.87554394115377,8.099341063898262,quali
2014,6,813,Pastor Maldonado,18.26007966263953,8.069436602674381,quali
2014,6,13,Felipe Massa,33.199068647081056,8.014247383449183,quali
2014,6,821,Esteban Gutiérrez,22.608652983996226,8.076662725597316,quali
2014,6,16,Adrian Sutil,21.090178710523542,8.082019834977526,quali
2014,6,824,Jules Bianchi,18.44500793147902,8.090953756026488,quali
2014,6,820,Max Chilton,14.585385855608209,8.051174362776061,quali
2014,6,155,Kamui Kobayashi,16.781621631946226,8.0779192540491,quali
2014,6,828,Marcus Ericsson,12.531507686323648,8.081324642948427,quali
2014,6,3,Nico Rosberg,60.032764051290286,8.232773008208706,race
2014,6,1,Lewis Hamilton,58.73867196483159,8.273077546691647,race
2014,6,817,Daniel Ricciardo,51.24356547563595,8.21018993304812,race
2014,6,4,Fernando Alonso,48.80274209942575,8.036836660009556,race
2014,6,807,Nico Hülkenberg,42.2105263265797,7.9330564016307035,race
2014,6,18,Jenson Button,38.25231585682967,7.927127560022523,race
2014,6,13,Felipe Massa,34.70834010998337,7.974485141310463,race
2014,6,154,Romain Grosjean,30.2464399580176,8.054028062871351,race
2014,6,824,Jules Bianchi,20.003037905275583,8.049266786936926,race
2014,6,825,Kevin Magnussen,34.76174351836726,8.08116240303605,race
2014,6,828,Marcus Ericsson,13.69726861001368,8.031465122315607,race
2014,6,8,Kimi Räikkönen,38.838844808045955,7.966554806783376,race
2014,6,155,Kamui Kobayashi,16.74033815391024,8.059273398241869,race
2014,6,820,Max Chilton,14.4270212345698,8.030602936928528,race
2014,6,821,Esteban Gutiérrez,21.942183809002387,8.047262618880438,race
2014,6,16,Adrian Sutil,20.124208483583715,8.048580846511596,race
2014,6,815,Sergio Pérez,31.722641454950573,7.965427117251742,race
2014,7,3,Nico Rosberg,62.96576560064013,8.228797854718627,quali
2014,7,1,Lewis Hamilton,61.436744295167415,8.264429163632679,quali
2014,7,20,Sebastian Vettel,46.92190670606567,8.090085351628165,quali
2014,7,822,Valtteri Bottas,43.31335976540754,8.029693586234764,quali
2014,7,13,Felipe Massa,36.920995897525515,7.961943391303018,quali
2014,7,817,Daniel Ricciardo,52.89880115936992,8.184614514606524,quali
2014,7,4,Fernando Alonso,50.172204013250905,8.009812676032771,quali
2014,7,818,Jean-Éric Vergne,34.61589078345422,8.071784926360204,quali
2014,7,18,Jenson Button,39.42015105843501,7.898625943285061,quali
2014,7,8,Kimi Räikkönen,39.68810490659236,7.932263793221305,quali
2014,7,807,Nico Hülkenberg,42.51305885557252,7.891180071416199,quali
2014,7,825,Kevin Magnussen,35.156333093578766,8.03696898834725,quali
2014,7,815,Sergio Pérez,31.913695150598723,7.920685317620088,quali
2014,7,154,Romain Grosjean,30.214810840831813,8.041422655314928,quali
2014,7,826,Daniil Kvyat,31.368116009711276,7.893719922746996,quali
2014,7,16,Adrian Sutil,20.050564689205377,8.035317918968413,quali
2014,7,813,Pastor Maldonado,18.09249406900055,8.054629144680902,quali
2014,7,820,Max Chilton,14.199556256145184,8.015203686573095,quali
2014,7,824,Jules Bianchi,19.437099506183202,8.029124996065542,quali
2014,7,155,Kamui Kobayashi,16.021791840633462,8.037309020904916,quali
2014,7,828,Marcus Ericsson,12.74273426846796,8.007706739856276,quali
2014,7,821,Esteban Gutiérrez,19.85447278331696,8.019767285900537,quali
2014,7,817,Daniel Ricciardo,56.35951331400382,8.175991620775994,race
2014,7,3,Nico Rosberg,65.7954569712303,8.204363581885737,race
2014,7,20,Sebastian Vettel,49.63793841258313,8.06569163141467,race
2014,7,18,Jenson Button,41.86407395724321,7.872804343230373,race
2014,7,807,Nico Hülkenberg,44.44851633221589,7.854200757021384,race
2014,7,4,Fernando Alonso,51.178868558495815,7.949189602181877,race
2014,7,822,Valtteri Bottas,44.23229788211702,7.965440178899677,race
2014,7,818,Jean-Éric Vergne,35.629534898599246,8.007121533766822,race
2014,7,825,Kevin Magnussen,35.49819184521768,7.958804487721844,race
2014,7,8,Kimi Räikkönen,39.451621865981615,7.907828028176913,race
2014,7,815,Sergio Pérez,31.688364400049807,7.896450783786336,race
2014,7,13,Felipe Massa,36.1895860854773,7.928605246942346,race
2014,7,16,Adrian Sutil,19.617009579503613,8.006441451216643,race
2014,7,820,Max Chilton,13.5512473809166,7.984261919077969,race
2014,7,824,Jules Bianchi,17.612359193827874,7.994695425601828,race
2014,8,13,Felipe Massa,39.030650222620345,7.926871097307755,quali
2014,8,822,Valtteri Bottas,46.9073142081132,7.96046081367493,quali
2014,8,3,Nico Rosberg,68.09696978442204,8.189781695934569,quali
2014,8,4,Fernando Alonso,53.3532803349363,7.9362820631836675,quali
2014,8,817,Daniel Ricciardo,58.25401303710746,8.154711058380034,quali
2014,8,825,Kevin Magnussen,37.57188602674242,7.943819163762296,quali
2014,8,826,Daniil Kvyat,33.31349813576748,7.877632623260939,quali
2014,8,8,Kimi Räikkönen,40.96200312801565,7.884609899121922,quali
2014,8,1,Lewis Hamilton,61.55189255337838,8.21196163428245,quali
2014,8,807,Nico Hülkenberg,45.15735040486328,7.819619297638855,quali
2014,8,815,Sergio Pérez,32.712256612115404,7.865509638713679,quali
2014,8,18,Jenson Button,41.98224297426803,7.828771537315482,quali
2014,8,20,Sebastian Vettel,49.38247634764866,8.049660689257285,quali
2014,8,813,Pastor Maldonado,18.901600980339786,8.01663169416595,quali
2014,8,818,Jean-Éric Vergne,35.410670767192634,7.991895995496734,quali
2014,8,154,Romain Grosjean,29.96965846547283,8.025545484335565,quali
2014,8,16,Adrian Sutil,19.460175017217807,7.992083094855244,quali
2014,8,821,Esteban Gutiérrez,19.525656338302863,8.00289819011422,quali
2014,8,824,Jules Bianchi,17.140752112630864,7.97618247706388,quali
2014,8,155,Kamui Kobayashi,15.324854103686771,8.015861419740395,quali
2014,8,820,Max Chilton,12.565027429716567,7.96100712934334,quali
2014,8,828,Marcus Ericsson,11.02630058323539,7.984487764415749,quali
2014,8,3,Nico Rosberg,71.13716385100965,8.182904324815611,race
2014,8,1,Lewis Hamilton,64.30616973888752,8.198948728806304,race
2014,8,822,Valtteri Bottas,49.43412846715259,7.947514162459507,race
2014,8,13,Felipe Massa,41.43255503204151,7.912029110689042,race
2014,8,4,Fernando Alonso,55.05017973501269,7.9087386282967005,race
2014,8,815,Sergio Pérez,34.75238650898623,7.844955544062724,race
2014,8,825,Kevin Magnussen,39.211721089477116,7.914289664421799,race
2014,8,817,Daniel Ricciardo,58.25843315047354,8.09142470928006,race
2014,8,807,Nico Hülkenberg,45.5901555538064,7.772150211056727,race
2014,8,8,Kimi Räikkönen,41.1931795483831,7.831699459410486,race
2014,8,18,Jenson Button,41.87520961978273,7.813631902503027,race
2014,8,813,Pastor Maldonado,19.692862139873952,7.9690747254241945,race
2014,8,16,Adrian Sutil,19.732458083262962,7.935971856632399,race
2014,8,154,Romain Grosjean,29.622604736200955,8.004791664460587,race
2014,8,824,Jules Bianchi,16.949261856157023,7.958299299260628,race
2014,8,155,Kamui Kobayashi,14.969542336999572,7.995110975554984,race
2014,8,820,Max Chilton,12.037333362732022,7.938427851573754,race
2014,8,828,Marcus Ericsson,10.184874227802236,7.958200434494039,race
2014,8,821,Esteban Gutiérrez,17.46309874847936,7.972116838611509,race
2014,9,3,Nico Rosberg,74.01257760568028,8.178155179750885,quali
2014,9,20,Sebastian Vettel,52.08981039026623,8.043767236953462,quali
2014,9,18,Jenson Button,44.319974754990916,7.806684492648293,quali
2014,9,807,Nico Hülkenberg,47.781268225615506,7.761765012669437,quali
2014,9,825,Kevin Magnussen,41.404526813590586,7.901678272308082,quali
2014,9,1,Lewis Hamilton,65.6097015781271,8.167143047751622,quali
2014,9,815,Sergio Pérez,36.6280948026621,7.828200111160656,quali
2014,9,817,Daniel Ricciardo,59.047747497475015,8.053114411884433,quali
2014,9,826,Daniil Kvyat,34.81982685787573,7.854303635004391,quali
2014,9,818,Jean-Éric Vergne,36.62350652894599,7.961624309115095,quali
2014,9,154,Romain Grosjean,30.82291318830935,7.973892844422335,quali
2014,9,824,Jules Bianchi,18.408552301477577,7.93237981692608,quali
2014,9,820,Max Chilton,13.469131459693072,7.9123602941138556,quali
2014,9,821,Esteban Gutiérrez,18.458690988359855,7.938224882900074,quali
2014,9,813,Pastor Maldonado,20.312879129789714,7.929134545894806,quali
2014,9,16,Adrian Sutil,20.05663606252017,7.892018631438029,quali
2014,9,822,Valtteri Bottas,48.66932023908434,7.924702152671356,quali
2014,9,13,Felipe Massa,40.764761816048,7.890749996118189,quali
2014,9,4,Fernando Alonso,53.542315936861904,7.877719298138636,quali
2014,9,8,Kimi Räikkönen,39.97183441079759,7.805626161301547,quali
2014,9,828,Marcus Ericsson,9.617749368579563,7.93983630971479,quali
2014,9,155,Kamui Kobayashi,13.478503510829457,7.974740003619003,quali
2014,9,1,Lewis Hamilton,68.62361392142384,8.161563416531651,race
2014,9,822,Valtteri Bottas,51.39310324039069,7.917558098916684,race
2014,9,817,Daniel Ricciardo,61.42122684767375,8.037558068128934,race
2014,9,18,Jenson Button,46.57607295583431,7.793092780405059,race
2014,9,20,Sebastian Vettel,53.9921760791717,8.019542826165782,race
2014,9,4,Fernando Alonso,54.97465855150928,7.848759960426248,race
2014,9,825,Kevin Magnussen,42.99610439067024,7.874453336716457,race
2014,9,807,Nico Hülkenberg,48.70260321387709,7.726430051892848,race
2014,9,826,Daniil Kvyat,36.052206532009684,7.821593371030227,race
2014,9,818,Jean-Éric Vergne,37.44142331354196,7.919213682102264,race
2014,9,815,Sergio Pérez,37.02492096426867,7.782002347789103,race
2014,9,154,Romain Grosjean,31.202505899862064,7.923283058360078,race
2014,9,16,Adrian Sutil,20.726779433705094,7.848219587369562,race
2014,9,824,Jules Bianchi,18.805346288653407,7.882764015653825,race
2014,9,155,Kamui Kobayashi,13.815349566391863,7.922787752852455,race
2014,9,820,Max Chilton,13.444110779633988,7.898318681968591,race
2014,9,813,Pastor Maldonado,19.987212773331464,7.91015418422438,race
2014,9,821,Esteban Gutiérrez,18.006082362406335,7.917233930237051,race
2014,9,13,Felipe Massa,39.011224994400926,7.854640685499943,race
2014,9,8,Kimi Räikkönen,37.54342086659589,7.771528597519122,race
2014,10,3,Nico Rosberg,76.8914599297962,8.17322219868367,quali
2014,10,822,Valtteri Bottas,54.024420588335666,7.911970043114365,quali
2014,10,13,Felipe Massa,41.543602297688196,7.848202376390809,quali
2014,10,825,Kevin Magnussen,45.32813840264432,7.864428238418489,quali
2014,10,817,Daniel Ricciardo,63.195607672220724,8.015983648375677,quali
2014,10,20,Sebastian Vettel,55.69783519015176,7.996883770814469,quali
2014,10,4,Fernando Alonso,56.2846271215878,7.822920507312605,quali
2014,10,826,Daniil Kvyat,37.735041847315436,7.801677980472377,quali
2014,10,807,Nico Hülkenberg,49.62797193128505,7.696723007257977,quali
2014,10,815,Sergio Pérez,38.18801078051481,7.754539161655908,quali
2014,10,18,Jenson Button,46.955159850031635,7.7536131516736555,quali
2014,10,8,Kimi Räikkönen,38.092446921166754,7.734766531388775,quali
2014,10,818,Jean-Éric Vergne,37.65317101266931,7.873879645053367,quali
2014,10,821,Esteban Gutiérrez,18.98786181009679,7.883751057006698,quali
2014,10,154,Romain Grosjean,31.164291155392554,7.910812453265431,quali
2014,10,1,Lewis Hamilton,67.08745703558824,8.127549027930089,quali
2014,10,16,Adrian Sutil,20.637645165284138,7.835511058995935,quali
2014,10,824,Jules Bianchi,18.591520815096462,7.868130791476191,quali
2014,10,813,Pastor Maldonado,19.531147483229276,7.892208508783018,quali
2014,10,155,Kamui Kobayashi,13.264410832381596,7.903867405951549,quali
2014,10,820,Max Chilton,12.518958187691487,7.876470118925477,quali
2014,10,828,Marcus Ericsson,8.078071384822964,7.918899981064642,quali
2014,10,3,Nico Rosberg,79.91496130977575,8.16564870133701,race
2014,10,822,Valtteri Bottas,56.78578718527092,7.903615163064731,race
2014,10,1,Lewis Hamilton,69.42007910323062,8.107164993805304,race
2014,10,20,Sebastian Vettel,57.90054800234694,7.976268129701572,race
2014,10,4,Fernando Alonso,58.035966118467,7.797658842595432,race
2014,10,817,Daniel Ricciardo,64.27027368733557,7.974468592169171,race
2014,10,807,Nico Hülkenberg,50.85927973900728,7.664759809597055,race
2014,10,18,Jenson Button,47.9345307211935,7.715854974097099,race
2014,10,825,Kevin Magnussen,45.98112381897967,7.818083640685837,race
2014,10,815,Sergio Pérez,38.81779651358837,7.710326542577458,race
2014,10,8,Kimi Räikkönen,38.24648992760586,7.683068325516344,race
2014,10,813,Pastor Maldonado,20.479867320207266,7.849416660418325,race
2014,10,818,Jean-Éric Vergne,37.39250752353105,7.85538424843841,race
2014,10,821,Esteban Gutiérrez,19.04688764642175,7.825470240435112,race
2014,10,824,Jules Bianchi,18.463831791716224,7.851681971745519,race
